Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,1766.000000,1905.000000,1763.550049,1778.500000,1684.919922,8513547
2020-03-31,1837.400024,1855.000000,1780.000000,1826.099976,1730.015503,3927593
2020-04-01,1825.900024,1834.750000,1702.000000,1708.750000,1618.840088,4941878
2020-04-03,1740.000000,1740.000000,1650.000000,1654.199951,1567.160400,5735369
2020-04-07,1710.000000,1785.849976,1705.000000,1775.199951,1681.793457,5427577
2020-04-08,1760.000000,1806.000000,1701.000000,1705.449951,1615.713501,6285615
2020-04-09,1750.449951,1778.800049,1731.199951,1766.150024,1673.219727,5307397
2020-04-13,1761.000000,1787.000000,1746.000000,1759.250000,1666.682617,2990438
2020-04-15,1785.000000,1812.000000,1727.800049,1735.150024,1643.851074,4761399
2020-04-16,1709.949951,1764.900024,1675.050049,1716.050049,1625.755859,6245533
2020-04-17,1800.000000,1851.949951,1753.000000,1806.199951,1711.162476,9895823
2020-04-20,1830.000000,1830.000000,1802.500000,1818.650024,1722.957275,3244282
2020-04-21,1765.000000,1794.599976,1727.699951,1737.650024,1646.219360,5122541
2020-04-22,1737.650024,1790.000000,1719.150024,1769.500000,1676.393188,3829836
2020-04-23,1780.000000,1900.000000,1760.849976,1878.250000,1779.421143,5934366
2020-04-24,1840.699951,1851.949951,1807.800049,1818.550049,1722.862427,2987102
2020-04-27,1832.300049,1875.000000,1825.000000,1836.599976,1739.962891,3374741
2020-04-28,1865.000000,1868.000000,1832.599976,1859.050049,1761.231812,2678505
2020-04-29,1874.000000,1912.550049,1850.050049,1905.650024,1805.379761,4241510
2020-04-30,1980.000000,2032.000000,1942.199951,2014.449951,1908.454834,5915544
2020-05-04,1966.000000,1966.000000,1913.650024,1930.449951,1828.874756,3729348
2020-05-05,1955.099976,1977.000000,1927.000000,1932.750000,1831.053833,2905528
2020-05-06,1939.800049,1953.699951,1893.599976,1903.599976,1803.437378,3517431
2020-05-07,1910.000000,1934.449951,1883.349976,1891.650024,1792.116333,3166754
2020-05-08,1939.099976,1939.500000,1886.250000,1893.400024,1793.774292,2686530
2020-05-11,1909.000000,1951.400024,1909.000000,1935.300049,1833.469360,2449841
2020-05-12,1933.400024,1956.500000,1910.250000,1949.500000,1846.922241,3256595
2020-05-13,1994.000000,1994.000000,1925.650024,1949.650024,1847.064575,2656665
2020-05-14,1910.000000,1923.099976,1891.099976,1902.349976,1802.253052,2263146
2020-05-15,1916.000000,1917.400024,1865.199951,1892.900024,1793.300537,3173682
2020-05-18,1907.000000,1952.949951,1872.099976,1945.599976,1843.227295,3727694
2020-05-19,1903.000000,1966.449951,1903.000000,1948.650024,1846.117188,3198693
2020-05-20,1950.000000,1962.900024,1931.699951,1953.599976,1850.806763,2778505
2020-05-21,1946.000000,1998.000000,1941.150024,1991.199951,1886.428101,3400908
2020-05-22,1977.099976,2032.000000,1961.250000,2020.349976,1914.044189,3663418
2020-05-26,2015.000000,2024.000000,1925.000000,1943.000000,1840.764404,4575317
2020-05-27,1959.000000,2010.000000,1941.250000,2005.300049,1899.786133,3482160
2020-05-28,1988.500000,2014.000000,1971.300049,2004.300049,1898.838867,3475681
2020-05-29,1982.000000,2002.650024,1962.400024,1972.349976,1868.569946,7237735
2020-06-01,1990.000000,2060.000000,1981.099976,2045.250000,1937.634277,3747773
2020-06-02,2060.199951,2081.000000,2040.050049,2047.150024,1939.434082,2443886
2020-06-03,2051.850098,2063.750000,2020.000000,2046.150024,1944.185059,3699799
2020-06-04,2046.750000,2100.000000,2046.750000,2091.550049,1987.322754,4048593
2020-06-05,2091.600098,2098.000000,2040.300049,2048.250000,1946.180420,3573289
